country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,Population,GDP,land_area,cpi,latest_literacy,political_stability
Afghanistan,AFG,2021-02-22,0,0,NA,NA,NA,0,0,NA,NA,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-02-23,NA,NA,NA,NA,1367,NA,NA,NA,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-02-24,NA,NA,NA,NA,1367,NA,NA,NA,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-02-25,NA,NA,NA,NA,1367,NA,NA,NA,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-02-26,NA,NA,NA,NA,1367,NA,NA,NA,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-02-27,NA,NA,NA,NA,1367,NA,NA,NA,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-02-28,8200,8200,NA,NA,1367,0.02,0.02,NA,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-03-01,NA,NA,NA,NA,1580,NA,NA,NA,41,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-03-02,NA,NA,NA,NA,1794,NA,NA,NA,46,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-03-03,NA,NA,NA,NA,2008,NA,NA,NA,52,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-03-04,NA,NA,NA,NA,2221,NA,NA,NA,57,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-03-05,NA,NA,NA,NA,2435,NA,NA,NA,63,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-03-06,NA,NA,NA,NA,2649,NA,NA,NA,68,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-03-07,NA,NA,NA,NA,2862,NA,NA,NA,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-03-08,NA,NA,NA,NA,2862,NA,NA,NA,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
Afghanistan,AFG,2021-03-09,NA,NA,NA,NA,2862,NA,NA,NA,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,32890171,19291104008,652860,19,43.01971817,-2.649407
